DATE;COMPANY;COMPANY;TO;FROM;TEMPERATURE;SKY INFORMATION;WIND SPEED;WIND ANGLE;VISIBILITY;SCHEDULED TIME;LANDED TIME;CLASS
2019-10-25;SAS;SAS;Kopenhaga;PalangaPLQ;13;Fog.;7 km/h;150;4 km;00:55:00;01:18:00;Delay (15,30] min.
2019-10-25;AirBaltic;AirBaltic;TalinasTLL;VilniusVNO;11 °C;Sunny.;22 km/h;180;16 km;10:15:00;10:14:00;On Time [-5, 5] min.
2019-10-25;WizzAir;WizzAir;Londonas/Lutonas;PalangaPLQ;13 °C;Drizzle. Dense fog.;6 km/h;200;1 km;10:20:00;10:07:00;Early [-15,-5) min.
2019-10-25;CorendonEurope;CorendonEurope;HurgadaHRG;VilniusVNO;11 °C;Sunny.;22 km/h;180;16 km;10:30:00;10:28:00;On Time [-5, 5] min.
2019-10-25;ScandinavianAirlines;ScandinavianAirlines;KopenhagaCPH;VilniusVNO;11 °C;Sunny.;22 km/h;180;16 km;10:35:00;10:43:00;Delay (5, 15] min.
2019-10-25;CorendonAirlines;CorendonAirlines;AntalijaAYT;VilniusVNO;11 °C;Sunny.;26 km/h;180;16 km;10:45:00;10:18:00;Early (-inf, -15) min.
2019-10-25;TurkishAirlines;TurkishAirlines;StambulasIST;VilniusVNO;11 °C;Sunny.;26 km/h;180;16 km;10:45:00;10:46:00;On Time [-5, 5] min.
2019-10-25;Ryanair;Ryanair;BarselonaBCN;VilniusVNO;11 °C;Sunny.;26 km/h;180;16 km;11:00:00;10:32:00;Early (-inf, -15) min.
2019-10-25;Ryanair;Ryanair;LidsasLBA;VilniusVNO;11 °C;Sunny.;22 km/h;190;16 km;11:20:00;11:03:00;Early (-inf, -15) min.
2019-10-25;WizzAir;WizzAir;Londonas(Lutonas)LTN;KaunasKUN;10 °C;Fog.;13 km/h;220;3 km;11:40:00;11:19:00;Early (-inf, -15) min.
2019-10-25;NorvegianAirShuttle;NorvegianAirShuttle;StokholmasARN;VilniusVNO;11 °C;Partly sunny.;22 km/h;180;8 km;12:25:00;12:35:00;Delay (5, 15] min.
2019-10-25;WizzAir;WizzAir;LondonasLTN;VilniusVNO;11 °C;Partly sunny.;22 km/h;180;8 km;12:30:00;12:39:00;Delay (5, 15] min.
2019-10-25;AustrianAirlines;AustrianAirlines;VienaVIE;VilniusVNO;10 °C;Partly sunny.;26 km/h;190;8 km;12:50:00;12:41:00;Early [-15,-5) min.
2019-10-25;Lufthansa;Lufthansa;FrankfurtasFRA;VilniusVNO;10 °C;Partly sunny.;26 km/h;190;8 km;13:00:00;12:55:00;Early [-15,-5) min.
2019-10-25;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;10 °C;Partly sunny.;26 km/h;190;8 km;13:00:00;12:45:00;Early (-inf, -15) min.
2019-10-25;WizzAir;WizzAir;EindhovenasEIN;KaunasKUN;11 °C;Fog.;11 km/h;240;3 km;13:00:00;12:35:00;Early (-inf, -15) min.
